high accuracy:0.9710959318954204, flow srcip:933733071
high accuracy:1.0, flow srcip:805468203
high accuracy:1.0, flow srcip:856351022
high accuracy:0.9985205561784117, flow srcip:832320849
high accuracy:1.0, flow srcip:3750379366
high accuracy:0.9984423676012462, flow srcip:2479149332
high accuracy:0.9927154076715863, flow srcip:2279703353
high accuracy:0.9974164379137737, flow srcip:2997697428
high accuracy:0.9158912110183712, flow srcip:1028743102
high accuracy:0.9972403682383632, flow srcip:3960180613
high accuracy:1.0, flow srcip:1181408596
high accuracy:0.9770875467991741, flow srcip:3035402230
high accuracy:1.0, flow srcip:856351044
high accuracy:1.0, flow srcip:849466046
high accuracy:0.9786608247631797, flow srcip:805987302
high accuracy:0.9927206200953252, flow srcip:805406855
high accuracy:0.998762088974855, flow srcip:859107896
high accuracy:0.9907797153738224, flow srcip:2134882108
high accuracy:1.0, flow srcip:3961536889
high accuracy:1.0, flow srcip:2967694070
high accuracy:0.9854672474017854, flow srcip:1176139188
high accuracy:0.9889701092856625, flow srcip:2478957191
high accuracy:1.0, flow srcip:2394943766
high accuracy:1.0, flow srcip:2990638718
high accuracy:1.0, flow srcip:832321012
high accuracy:0.9949602330892197, flow srcip:2240427510
high accuracy:0.9671135609847247, flow srcip:576109158
high accuracy:1.0, flow srcip:1181408598
high accuracy:1.0, flow srcip:683439414
high accuracy:1.0, flow srcip:700678482
high accuracy:0.9939738543033484, flow srcip:2233902414
high accuracy:0.9166433218165406, flow srcip:3753468531
high accuracy:1.0, flow srcip:805406894
high accuracy:0.9986790505675954, flow srcip:3045336916
high accuracy:0.9963401383885172, flow srcip:3035402219
high accuracy:0.9557291666666666, flow srcip:3720742784
high accuracy:0.9949823598588788, flow srcip:2359001784
high accuracy:0.9997667417466669, flow srcip:3035402196
high accuracy:0.9887821758794043, flow srcip:2281430132
high accuracy:1.0, flow srcip:3039806835
high accuracy:0.9352232868184096, flow srcip:654926167
high accuracy:0.9988940920322786, flow srcip:807394007
high accuracy:0.9893306659998333, flow srcip:681503770
high accuracy:0.9978507352620114, flow srcip:1034390427
false negative:3084494470
high accuracy:1.0, flow srcip:2380088090
high accuracy:1.0, flow srcip:2432658869
high accuracy:1.0, flow srcip:696552272
high accuracy:1.0, flow srcip:666766671
high accuracy:0.9965461413923368, flow srcip:2657530193
high accuracy:0.9950017571947363, flow srcip:882714731
high accuracy:0.9879154078549849, flow srcip:2424366201
high accuracy:0.9700066405961779, flow srcip:1303563867
high accuracy:0.9975359792544953, flow srcip:4263175189
high accuracy:0.9986470488753594, flow srcip:3010298695
high accuracy:0.9927429413765733, flow srcip:2272998737
high accuracy:0.9455608921563528, flow srcip:805406824
false negative:1021556636
high accuracy:1.0, flow srcip:2957376076
high accuracy:0.9923586651543191, flow srcip:4067979319
high accuracy:0.9995321979387471, flow srcip:2967956792
high accuracy:0.9905287414642396, flow srcip:2969957443
high accuracy:0.9115986928659339, flow srcip:2996267186
high accuracy:0.993736058911602, flow srcip:3010299106
high accuracy:1.0, flow srcip:2547771045
high accuracy:0.9962432495891054, flow srcip:2670379668
high accuracy:0.9957944539361283, flow srcip:3750379476
high accuracy:1.0, flow srcip:832321003
high accuracy:0.993327425324506, flow srcip:1021861062
high accuracy:1.0, flow srcip:3080227069
high accuracy:1.0, flow srcip:2990638821
high accuracy:1.0, flow srcip:1029799799
high accuracy:0.9849367461017946, flow srcip:821143157
high accuracy:0.9928165720013364, flow srcip:805467375
high accuracy:0.9633197990503063, flow srcip:919487159
high accuracy:0.9961408586589484, flow srcip:3961534269
high accuracy:0.9931715219395023, flow srcip:1177417605
high accuracy:0.997007807751648, flow srcip:658758983
high accuracy:0.9772451319872285, flow srcip:1399718746
high accuracy:0.9295898223294582, flow srcip:2654874063
high accuracy:0.9080665889596222, flow srcip:2654876878
high accuracy:0.9041095890410958, flow srcip:2279627503
high accuracy:0.9936848337335131, flow srcip:3024194960
high accuracy:0.9877424297407362, flow srcip:1399718646
high accuracy:1.0, flow srcip:805407111
high accuracy:0.9797350731514433, flow srcip:3024194238
high accuracy:1.0, flow srcip:2654878334
high accuracy:0.9126060159089712, flow srcip:894860583
high accuracy:0.9672466734902764, flow srcip:2654877052
high accuracy:0.9921138562010967, flow srcip:902086742
high accuracy:0.9535725627183232, flow srcip:3751448017
high accuracy:0.9893214234383815, flow srcip:832320808
high accuracy:0.9993120794548229, flow srcip:1176373175
high accuracy:0.9922574401161384, flow srcip:805412775
false negative:934756861
high accuracy:0.9722182268789484, flow srcip:1028681671
high accuracy:0.9678972712680578, flow srcip:3023861511
high accuracy:1.0, flow srcip:3881619448
high accuracy:0.9971032859599891, flow srcip:2223275873
high accuracy:0.9904314544189283, flow srcip:3963547925
high accuracy:0.9778002255215185, flow srcip:3753468490
high accuracy:0.9870722160376342, flow srcip:805467305
high accuracy:1.0, flow srcip:1368386806
high accuracy:0.9972845687131402, flow srcip:1373670226
high accuracy:1.0, flow srcip:2273029091
high accuracy:0.9828933231805902, flow srcip:696552029
high accuracy:0.9469014343508643, flow srcip:1398065212
high accuracy:0.9933036010859504, flow srcip:805406834
high accuracy:0.9999290641005605, flow srcip:1840098683
high accuracy:1.0, flow srcip:1366877229
high accuracy:0.9907870458738945, flow srcip:712018314
high accuracy:0.9915808876830354, flow srcip:696552030
high accuracy:0.994375851311569, flow srcip:2512531063
high accuracy:0.9751769611170368, flow srcip:2485598238
high accuracy:1.0, flow srcip:1297443483
high accuracy:0.9998579195425009, flow srcip:1028681576
high accuracy:0.9956629282011317, flow srcip:2993373228
high accuracy:1.0, flow srcip:654926216
high accuracy:1.0, flow srcip:2995241131
high accuracy:1.0, flow srcip:2967874509
high accuracy:0.9963054898112336, flow srcip:805468202
high accuracy:0.9522160340712313, flow srcip:2492985491
high accuracy:1.0, flow srcip:2957368535
high accuracy:1.0, flow srcip:3673311256
high accuracy:0.9917029487172737, flow srcip:700678618
high accuracy:0.9123811641741257, flow srcip:3035401975
high accuracy:0.9759683391177312, flow srcip:1399718656
high accuracy:0.9872652141247182, flow srcip:832320783
high accuracy:1.0, flow srcip:878334330
false negative:2332676512
high accuracy:1.0, flow srcip:1400190764
high accuracy:1.0, flow srcip:659855525
high accuracy:0.9992747710996284, flow srcip:896817256
high accuracy:1.0, flow srcip:1028743002
high accuracy:0.9997672443734055, flow srcip:832320971
high accuracy:0.985816126768367, flow srcip:2224936774
high accuracy:0.9446717319306448, flow srcip:2240900387
high accuracy:1.0, flow srcip:1144023353
high accuracy:0.9942214798428964, flow srcip:2993373303
high accuracy:0.98275924681786, flow srcip:3088969270
high accuracy:1.0, flow srcip:3124216464
high accuracy:0.9176954183293518, flow srcip:3035781225
high accuracy:0.9955933057582034, flow srcip:805406748
high accuracy:0.9770098175081326, flow srcip:1840098450
high accuracy:0.9988522032317653, flow srcip:2999522164
high accuracy:1.0, flow srcip:2967694026
high accuracy:1.0, flow srcip:1400589839
high accuracy:1.0, flow srcip:805467275
high accuracy:0.9862599279866784, flow srcip:3750379345
high accuracy:1.0, flow srcip:1029799394
high accuracy:0.9994886095773837, flow srcip:3706277274
high accuracy:0.9378988254878388, flow srcip:714304011
high accuracy:1.0, flow srcip:1840098519
high accuracy:0.9555683634172539, flow srcip:2998143241
high accuracy:1.0, flow srcip:2575928473
false negative:3126502182
high accuracy:0.9911923816336567, flow srcip:2967694049
high accuracy:1.0, flow srcip:2227878931
high accuracy:1.0, flow srcip:1034387671
high accuracy:1.0, flow srcip:3034928694
high accuracy:0.9928758279067179, flow srcip:2993373513
high accuracy:1.0, flow srcip:832320931
high accuracy:1.0, flow srcip:2675418844
high accuracy:1.0, flow srcip:2455536229
high accuracy:1.0, flow srcip:3960212149
high accuracy:0.9450861488112426, flow srcip:853439392
high accuracy:0.9884732403569314, flow srcip:654926106
high accuracy:0.9730949736681833, flow srcip:876680179
high accuracy:0.9741819002482509, flow srcip:3088393292
high accuracy:0.9236886883184139, flow srcip:3010549892
high accuracy:1.0, flow srcip:3088393428
high accuracy:0.9965624664303362, flow srcip:2376540839
high accuracy:1.0, flow srcip:1399718662
high accuracy:1.0, flow srcip:2279627485
high accuracy:1.0, flow srcip:832320998
high accuracy:0.9996763655855254, flow srcip:3035781395
high accuracy:0.9914887311057562, flow srcip:610350545
high accuracy:0.9904757677406264, flow srcip:3706277172
high accuracy:0.9944072240023303, flow srcip:3010300661
high accuracy:1.0, flow srcip:2384182561
high accuracy:0.9958821258525287, flow srcip:3748326311
high accuracy:0.9111993272972603, flow srcip:3961536822
high accuracy:0.9950435624394967, flow srcip:3056464955
high accuracy:0.9724048991457133, flow srcip:835839338
high accuracy:0.9960557130531246, flow srcip:1022263524
high accuracy:0.9993858098073698, flow srcip:654711543
high accuracy:1.0, flow srcip:805467257
high accuracy:0.9801751152577782, flow srcip:3035400276
high accuracy:0.9951555521913557, flow srcip:654926305
high accuracy:1.0, flow srcip:3960422773
high accuracy:0.9992096862825001, flow srcip:724851108
high accuracy:0.9977579974478727, flow srcip:2332676490
high accuracy:0.9616479709100888, flow srcip:2654876943
false negative:1398065324
high accuracy:1.0, flow srcip:698345798
high accuracy:0.9681179470766181, flow srcip:832320942
high accuracy:0.9684561480564595, flow srcip:853140986
high accuracy:1.0, flow srcip:2382489280
high accuracy:0.9947043978321128, flow srcip:2273019007
high accuracy:0.9916980153067843, flow srcip:3010301164
high accuracy:0.9979966192950604, flow srcip:702467419
high accuracy:0.9990738306033711, flow srcip:696552013
high accuracy:0.9985914873013777, flow srcip:2955782419
low accuracy:0.09998615533711754, flow srcip:2996197067
high accuracy:0.9150514936352587, flow srcip:1368386794
high accuracy:0.9969856819894499, flow srcip:2332676444
high accuracy:0.9940119760479041, flow srcip:2568459365
high accuracy:0.9654427645788337, flow srcip:697840126
high accuracy:1.0, flow srcip:3053225971
high accuracy:0.9973001476481755, flow srcip:1399585139
false negative:3140374700
high accuracy:0.9951535345121351, flow srcip:3010299069
high accuracy:0.9900318616294947, flow srcip:3960177519
high accuracy:0.9908080581622521, flow srcip:672650481
high accuracy:0.9572845474245708, flow srcip:3039807044
high accuracy:1.0, flow srcip:2114346914
high accuracy:0.9585635359116023, flow srcip:2489684875
high accuracy:1.0, flow srcip:805467360
high accuracy:0.9476809266559595, flow srcip:943237990
high accuracy:0.9994318484455729, flow srcip:3010550844
high accuracy:0.955101350472275, flow srcip:553063843
high accuracy:0.9863116511794139, flow srcip:805406726
high accuracy:1.0, flow srcip:1028742935
high accuracy:0.9748674797049338, flow srcip:805467333
high accuracy:0.9982539422709663, flow srcip:905505586
high accuracy:1.0, flow srcip:805406854
high accuracy:1.0, flow srcip:3963260325
high accuracy:0.9161872292066198, flow srcip:882450553
false negative:3148286919
high accuracy:0.9334384236453201, flow srcip:1298942532
high accuracy:0.9750566893424036, flow srcip:566104220
high accuracy:0.993409007689491, flow srcip:2279627328
false negative:702467398
high accuracy:0.9958733638532465, flow srcip:3093811249
high accuracy:1.0, flow srcip:2967694046
high accuracy:1.0, flow srcip:3828786594
high accuracy:0.9972290773693553, flow srcip:2105056747
high accuracy:0.996308496138119, flow srcip:3085533219
high accuracy:0.9314757544827166, flow srcip:856350996
high accuracy:1.0, flow srcip:735643307
high accuracy:0.9287455030753162, flow srcip:2395471689
high accuracy:1.0, flow srcip:2604401666
high accuracy:1.0, flow srcip:890626011
high accuracy:1.0, flow srcip:1396739700
high accuracy:0.9979978101048022, flow srcip:821142710
high accuracy:0.9911136683288582, flow srcip:4261293490
high accuracy:0.9964788732394366, flow srcip:3010298282
high accuracy:0.9849624060150376, flow srcip:3891254473
high accuracy:0.9880803666389496, flow srcip:805406779
high accuracy:0.9979151355161915, flow srcip:874248025
high accuracy:0.9980695854133048, flow srcip:679071537
false negative:1347305772
high accuracy:1.0, flow srcip:896817235
high accuracy:0.996116504854369, flow srcip:3713701768
high accuracy:1.0, flow srcip:887462835
high accuracy:1.0, flow srcip:2669243624
high accuracy:0.9767610748002905, flow srcip:910477849
high accuracy:0.9941328945938814, flow srcip:805467351
high accuracy:0.9967105263157895, flow srcip:544458385
high accuracy:0.9992983687072443, flow srcip:2955782472
high accuracy:1.0, flow srcip:658758940
high accuracy:1.0, flow srcip:2654877183
high accuracy:0.9177469825659366, flow srcip:2460681812
